label	code	symbol
台泥	1101	1101.TW
亞泥	1102	1102.TW
嘉泥	1103	1103.TW
環泥	1104	1104.TW
幸福	1108	1108.TW
信大	1109	1109.TW
東泥	1110	1110.TW
味全	1201	1201.TW
味王	1203	1203.TW
大成	1210	1210.TW
大飲	1213	1213.TW
卜蜂	1215	1215.TW
統一	1216	1216.TW
愛之味	1217	1217.TW
泰山	1218	1218.TW
福壽	1219	1219.TW
台榮	1220	1220.TW
福懋油	1225	1225.TW
佳格	1227	1227.TW
聯華	1229	1229.TW
聯華食	1231	1231.TW
大統益	1232	1232.TW
天仁	1233	1233.TW
黑松	1234	1234.TW
興泰	1235	1235.TW
宏亞	1236	1236.TW
鮮活果汁-KY	1256	1256.TW
台塑	1301	1301.TW
南亞	1303	1303.TW
台聚	1304	1304.TW
華夏	1305	1305.TW
三芳	1307	1307.TW
亞聚	1308	1308.TW
台達化	1309	1309.TW
台苯	1310	1310.TW
國喬	1312	1312.TW
聯成	1313	1313.TW
中石化	1314	1314.TW
達新	1315	1315.TW
上曜	1316	1316.TW
東陽	1319	1319.TW
大洋	1321	1321.TW
永裕	1323	1323.TW
地球	1324	1324.TW
恆大	1325	1325.TW
台化	1326	1326.TW
再生-KY	1337	1337.TW
廣華-KY	1338	1338.TW
昭輝	1339	1339.TW
勝悅-KY	1340	1340.TW
富林-KY	1341	1341.TW
八貫	1342	1342.TW
遠東新	1402	1402.TW
新纖	1409	1409.TW
南染	1410	1410.TW
宏洲	1413	1413.TW
東和	1414	1414.TW
廣豐	1416	1416.TW
嘉裕	1417	1417.TW
東華	1418	1418.TW
新紡	1419	1419.TW
利華	1423	1423.TW
大魯閣	1432	1432.TW
福懋	1434	1434.TW
中福	1435	1435.TW
華友聯	1436	1436.TW
勤益控	1437	1437.TW
三地開發	1438	1438.TW
雋揚	1439	1439.TW
南紡	1440	1440.TW
大東	1441	1441.TW
名軒	1442	1442.TW
立益物流	1443	1443.TW
力麗	1444	1444.TW
大宇	1445	1445.TW
宏和	1446	1446.TW
力鵬	1447	1447.TW
佳和	1449	1449.TW
年興	1451	1451.TW
宏益	1452	1452.TW
大將	1453	1453.TW
台富	1454	1454.TW
